samples,G,Eads,M,ZTM,Eg,plz,Ra,Rc,Uo,Ip1,NTM,N
Ni2,-2.618600822,-4.508828298,58.6934,28,1.91,48,1.21,1.24,2,737.1,2,3
Ni2,-3.845585879,-4.52716606,58.6934,28,1.91,48,1.21,1.24,2,737.1,2,4
Ni2,-5.219868558,-4.231171336,58.6934,28,1.91,48,1.21,1.24,2,737.1,2,5
Ni2,-5.572728631,-2.162277709,58.6934,28,1.91,48,1.21,1.24,2,737.1,2,6
Ni3,-3.334556203,-3.412755827,58.6934,28,1.91,48,1.21,1.24,2,737.1,3,1
Ni3,-3.087142019,-4.6664204,58.6934,28,1.91,48,1.21,1.24,2,737.1,3,2
Ni3,-4.106168785,-6.115778477,58.6934,28,1.91,48,1.21,1.24,2,737.1,3,3
Ni3,-5.329683165,-6.163738569,58.6934,28,1.91,48,1.21,1.24,2,737.1,3,4
Ni3,-5.901197054,-4.912142063,58.6934,28,1.91,48,1.21,1.24,2,737.1,3,5
Ni3,-4.849635333,-1.402274192,58.6934,28,1.91,48,1.21,1.24,2,737.1,3,6
Ni4,-3.33870233,-3.308574261,58.6934,28,1.91,48,1.21,1.24,2,737.1,4,1
Ni4,-3.074903309,-4.563166742,58.6934,28,1.91,48,1.21,1.24,2,737.1,4,2
Ni4,-4.138489736,-6.099258436,58.6934,28,1.91,48,1.21,1.24,2,737.1,4,3
Ni4,-5.313762359,-6.068890513,58.6934,28,1.91,48,1.21,1.24,2,737.1,4,4
Ni4,-5.412453277,-4.363573845,58.6934,28,1.91,48,1.21,1.24,2,737.1,4,5
Ni4,-4.934615445,-1.448128122,58.6934,28,1.91,48,1.21,1.24,2,737.1,4,6
